Object,Room,Answer
curtain,outdoor,1
table,laundryroom,1
sofa,bedroom,1
whiteboard,bathroom,1
chair,porch/terrace/deck/driveway,1
counter,hallway,1
refrigerator,dining room,1
bathtub,porch/terrace/deck/driveway,1
curtain,bathroom,1
window,porch/terrace/deck/driveway,1
curtain,bedroom,1
window,bathroom,1
counter,living room,1
mirror,hallway,1
plant,hallway,1
television,hallway,1
cushion,familyroom,1
armchair,dining room,1
cabinet,outdoor,1
television,stairs,1
plant,stairs,1
desk,stairs,1
mirror,living room,1
television,living room,1
bookcase,porch/terrace/deck/driveway,1
nightstand,laundryroom,1
bed,kitchen,1
table,porch/terrace/deck/driveway,1
table,familyroom,1
board,bathroom,1
mirror,stairs,1
desk,outdoor,1
cabinet,bedroom,1
clothes,hallway,1
counter,bedroom,1
appliance,living room,1
bed,porch/terrace/deck/driveway,1
nightstand,dining room,1
refrigerator,hallway,1
cabinet,closet,1
television,outdoor,1
picture,outdoor,1
nightstand,porch/terrace/deck/driveway,1
counter,closet,1
mirror,bedroom,1
refrigerator,living room,1
plant,bedroom,1
desk,bedroom,1
mirror,closet,1
armchair,living room,1
picture,bathroom,1
plant,dining room,1
cushion,laundryroom,1
television,dining room,1
picture,closet,1
towel,hallway,1
books,porch/terrace/deck/driveway,1
clothes,bedroom,1
dresser,no label,1
television,bathroom,1
refrigerator,bedroom,1
dresser,familyroom,1
towel,living room,1
appliance,kitchen,1
whiteboard,porch/terrace/deck/driveway,1
sofa,laundryroom,1
window,dining room,1
refrigerator,kitchen,1
toilet,porch/terrace/deck/driveway,1
appliance,bathroom,1
toilet,bathroom,1
desk,hallway,1
cabinet,hallway,1
refrigerator,bathroom,1
cabinet,stairs,1
plant,living room,1
clothes,dining room,1
curtain,porch/terrace/deck/driveway,1
appliance,familyroom,1
desk,living room,1
window,familyroom,1
board,porch/terrace/deck/driveway,1
armchair,bedroom,1
bookcase,laundryroom,1
towel,kitchen,1
sofa,familyroom,1
dresser,laundryroom,1
